news_id,pm_id
05-11-028_mirror,22022262
05-11-028_scotsman,22022262
05-11-028_metro,22022262
16-11-006_mirror,21792569
16-11-006_bbcnews,21792569
16-11-006_metro,21792569
02-11-002_dailymail,21300993
02-11-002_sun,21300993
02-11-002_mirror,21300993
02-11-002_express,21300993
02-11-002_times,21300993
02-11-002_guardian,21300993
02-11-002_telegraph,21300993
02-11-002_independent,21300993
02-11-002_bbcnews,21300993
02-11-002_metro,21300993
14-11-014_dailymail,21601553
01-11-002_telegraph,21420485
01-11-002_mailonline,21420485
20-11-014_dailymail,22001908
20-11-014_sun,22001908
20-11-014_mirror,22001908
20-11-014_bbcnews,22001908
20-11-014_reuters,22001908
01-11-016_dailymail,21868086
01-11-016_express,21868086
01-11-016_times,21868086
01-11-016_guardian,21868086
01-11-016_telegraph,21868086
01-11-016_independent,21868086
01-11-016_scotsman,21868086
01-11-016_bbcnews,21868086
01-11-016_reuters,21868086
01-11-016_metro,21868086
04-11-008_dailymail,21757187
04-11-008_sun,21757187
04-11-008_express,21757187
04-11-008_independent,21757187
04-11-008_bbcnews,21757187
04-11-008_metro,21757187
12-11-008_dailymail,21280060
12-11-008_express,21280060
07-11-025_sundaysun,21841185
07-11-025_bbcnews,21841185
20-11-019_telegraph,22169108
19-11-016_bbcnews,22149959
19-11-006_guardian,21747128
19-11-006_bbcnews,21747128
09-11-017_bbcnews,22196944
15-11-027_telegraph,21860095
04-11-016_bbcnews,21452338
01-11-013_dailymail,21820732
01-11-013_sun,21820732
01-11-013_times,21820732
01-11-013_guardian,21820732
01-11-013_independent,21820732
01-11-013_scotsman,21820732
01-11-013_bbcnews,21820732
19-11-008_dailymail,21775334
06-11-005_sun,21266977
15-11-014_dailymail,21920973
15-11-014_mirror,21920973
15-11-014_express,21920973
15-11-014_independent,21920973
15-11-014_dailystar,21920973
15-11-014_bbcnews,21920973
09-11-012_dailymail,21983787
07-11-020_guardian,21615299
07-11-020_bbcnews,21615299
13-11-003_dailymail,21183013
13-11-003_independent,21183013
07-11-011_sun,21378988
07-11-011_express,21378988
07-11-011_telegraph,21378988
07-11-011_scotsman,21378988
01-11-015_dailymail,21850491
01-11-015_mirror,21850491
01-11-015_express,21850491
01-11-015_telegraph,21850491
01-11-015_independent,21850491
01-11-015_dailystar,21850491
01-11-015_bbcnews,21850491
01-11-015_metro,21850491
02-11-023_dailymail,21600942
02-11-023_express,21600942
02-11-023_guardian,21600942
02-11-023_bbcnews,21600942
11-11-001_sun,21562513
11-11-001_express,21562513
11-11-001_guardian,21562513
11-11-001_independent,21562513
14-11-018_dailymail,21810886
07-11-033_dailymail,21931112
07-11-033_sun,21931112
07-11-033_reuters,21931112
02-11-051_express,22520655
12-11-005_mirror,21325004
12-11-005_guardian,21325004
12-11-005_telegraph,21325004
12-11-005_independent,21325004
12-11-005_bbcnews,21325004
07-11-024_bbcnews,21809354
17-11-011_mirror,22157081
05-11-008_dailymail,21350084
05-11-008_express,21350084
05-11-008_metro,21350084
05-11-024_mirror,21830957
05-11-024_scotsman,21830957
05-11-024_bbcnews,21830957
05-11-024_reuters,21830957
06-11-015_bbcnews,21712337
03-11-029_reuters,21920502
02-11-049_dailymail,22172722
02-11-049_mirror,22172722
03-11-005_dailymail,21233391
03-11-005_guardian,21233391
03-11-005_telegraph,21233391
03-11-005_independent,21233391
03-11-005_bbcnews,21233391
03-11-005_reuters,21233391
07-11-041_sun,22042946
19-11-013_mirror,22355626
09-11-003_dailymail,21385806
09-11-003_mirror,21385806
09-11-003_dailystar,21385806
12-11-012_dailymail,21685539
12-11-012_mirror,21685539
12-11-012_metro,21685539
16-11-002_telegraph,21444808
01-11-014_telegraph,21821867
06-11-011_sun,21610856
06-11-011_mirror,21610856
06-11-011_express,21610856
06-11-011_dailystar,21610856
06-11-011_bbcnews,21610856
06-11-011_pressassociation,21610856
06-11-011_metro,21610856
02-11-001_times,21200072
06-11-016_bbcnews,21765399
07-11-029_dailymail,21873710
07-11-029_sun,21873710
07-11-029_mirror,21873710
07-11-029_express,21873710
07-11-029_times,21873710
07-11-029_telegraph,21873710
04-11-004_bbcnews,21406512
02-11-022_dailymail,21471282
17-11-007_dailymail,21673805
17-11-007_telegraph,21673805
17-11-007_metro,21673805
07-11-017_express,21514236
07-11-017_times,21514236
07-11-017_guardian,21514236
07-11-017_independent,21514236
07-11-017_bbcnews,21514236
07-11-017_pressassociation,21514236
07-11-017_reuters,21514236
15-11-015_bbcnews,21868478
05-11-036_dailymail,22105623
05-11-036_sun,22105623
05-11-036_telegraph,22105623
05-11-036_independent,22105623
05-11-036_bbcnews,22105623
05-11-036_metro,22105623
03-11-042_mirror,22112805
03-11-042_bbcnews,22112805
12-11-030_dailymail,21868477
12-11-030_sun,21868477
18-11-012_bbcnews,22147909
06-11-023_independent,21959958
06-11-023_bbcnews,21959958
06-11-023_metro,21959958
19-11-002_dailymail,21261804
19-11-002_telegraph,21261804
19-11-002_metro,21261804
02-11-027_times,21743469
02-11-027_independent,21743469
05-11-020_scotsman,21737703
04-11-001_dailymail,21460840
04-11-001_mirror,21460840
04-11-001_express,21460840
04-11-001_times,21460840
04-11-001_guardian,21460840
04-11-001_telegraph,21460840
04-11-001_independent,21460840
04-11-001_bbcnews,21460840
04-11-001_reuters,21460840
13-11-012_reuters,21706004
04-11-018_telegraph,22056152
04-11-018_reuters,22056152
05-11-025_express,21915269
05-11-025_metro,21915269
07-11-022_mirror,21697825
08-11-010_bbcnews,21464317
06-11-014_dailymail,21693744
06-11-014_express,21693744
06-11-014_independent,21693744
06-11-001_dailymail,21245905
06-11-001_mirror,21245905
06-11-001_guardian,21245905
09-11-013_express,22006306
18-11-005_bbcnews,21471513
02-11-012_telegraph,21372060
16-11-003_bbcnews,21364036
14-11-006_dailymail,21288585
14-11-006_telegraph,21288585
14-11-006_sundaytimes,21288585
07-11-004_telegraph,21282645
07-11-004_metro,21282645
03-11-036_guardian,21988763
03-11-036_reuters,21988763
07-11-018_express,21647425
07-11-018_guardian,21647425
07-11-018_telegraph,21647425
07-11-018_scotsman,21647425
12-11-026_dailymail,22041945
12-11-026_mirror,22041945
12-11-026_express,22041945
12-11-026_times,22041945
12-11-026_guardian,22041945
12-11-026_reuters,22041945
12-11-028_reuters,22082706
18-11-004_telegraph,21454920
18-11-004_reuters,21454920
07-11-032_telegraph,21909110
07-11-032_metro,21909110
02-11-030_dailymail,21812945
02-11-030_mirror,21812945
02-11-030_express,21812945
02-11-030_guardian,21812945
02-11-030_telegraph,21812945
02-11-030_bbcnews,21812945
15-11-007_dailymail,21479173
15-11-011_sun,21555784
15-11-011_guardian,21555784
15-11-011_telegraph,21555784
15-11-011_scotsman,21555784
15-11-011_bbcnews,21555784
05-11-023_dailymail,21826061
05-11-023_times,21826061
05-11-023_guardian,21826061
17-11-003_telegraph,21325331
17-11-003_metro,21325331
03-11-033_dailymail,21976516
03-11-033_reuters,21976516
15-11-001_bbcnews,20801725
15-11-001_reuters,20801725
05-11-009_dailymail,21382554
05-11-009_sun,21382554
05-11-009_bbcnews,21382554
05-11-009_metro,21382554
15-11-023_scotsman,22190362
15-11-023_bbcnews,22190362
03-11-024_dailymail,21829179
03-11-024_guardian,21829179
03-11-024_metro,21829179
08-11-026_dailymail,22117057
08-11-026_sun,22117057
08-11-026_mirror,22117057
08-11-026_times,22117057
08-11-026_guardian,22117057
08-11-026_telegraph,22117057
08-11-026_independent,22117057
08-11-026_scotsman,22117057
08-11-026_metro,22117057
20-11-001_telegraph,21288945
05-11-027_bbcnews,21966271
06-11-021_scotsman,21517206
03-11-011_dailymail,21366474
03-11-011_guardian,21366474
03-11-011_reuters,21366474
12-11-023_bbcnews,21944779
19-11-011_express,21969521
19-11-011_metro,21969521
13-11-011_dailymail,21706030
13-11-011_express,21706030
03-11-012_times,21364553
03-11-012_scotsman,21364553
11-11-004_dailymail,21846662
01-11-023_dailymail,22053315
01-11-023_mirror,22053315
01-11-023_express,22053315
01-11-023_telegraph,22053315
01-11-023_independent,22053315
01-11-023_reuters,22053315
01-11-023_metro,22053315
08-11-028_guardian,22100201
08-11-028_telegraph,22100201
08-11-028_independent,22100201
08-11-028_bbcnews,22100201
08-11-028_reuters,22100201
08-11-003_bbcnews,21311598
04-11-009_dailymail,21914219
04-11-009_express,21914219
19-11-012_independent,21969391
19-11-012_metro,21969391
04-11-017_dailymail,22072682
04-11-017_bbcnews,22072682
18-11-006_independent,21612469
07-11-026_dailymail,21629154
07-11-026_telegraph,21629154
20-11-005_mirror,21508059
20-11-005_bbcnews,21508059
01-11-019_times,21862534
03-11-038_telegraph,21993621
03-11-038_bbcnews,21993621
05-11-011_dailymail,21411659
05-11-011_sun,21411659
05-11-011_express,21411659
05-11-011_independent,21411659
05-11-011_bbcnews,21411659
06-11-020_telegraph,21849320
08-11-027_mirror,22109525
08-11-027_independent,22109525
03-11-020_telegraph,21707557
03-11-020_reuters,21707557
14-11-020_mirror,21846713
02-11-031_dailymail,21775615
15-11-013_dailymail,21795263
15-11-013_sun,21795263
15-11-013_mirror,21795263
15-11-013_express,21795263
15-11-013_telegraph,21795263
15-11-013_bbcnews,21795263
15-11-013_reuters,21795263
15-11-013_metro,21795263
08-11-008_sun,21533175
08-11-008_express,21533175
08-11-008_telegraph,21533175
04-11-012_dailymail,22086967
04-11-012_telegraph,22086967
13-11-015_telegraph,21788663
04-11-007_dailymail,21680632
04-11-007_telegraph,21680632
04-11-007_independent,21680632
07-11-013_mirror,21471458
07-11-013_metro,21471458
08-11-017_dailymail,21572415
08-11-017_reuters,21572415
19-11-010_sun,21906948
19-11-010_mirror,21906948
19-11-010_newscientist,21906948
15-11-018_telegraph,22071768
15-11-018_bbcnews,22071768
15-11-018_metro,22071768
17-11-008_express,21636807
05-11-018_dailymail,21687661
05-11-018_sun,21687661
05-11-018_express,21687661
05-11-018_telegraph,21687661
05-11-018_bbcnews,21687661
05-11-018_metro,21687661
15-11-021_telegraph,22164139
15-11-021_metro,22164139
06-11-025_dailymail,22130653
06-11-025_sun,22130653
06-11-025_express,22130653
06-11-025_guardian,22130653
06-11-025_telegraph,22130653
06-11-025_bbcnews,22130653
07-11-001_express,21240265
07-11-001_reuters,21240265
19-11-009_dailymail,21865478
19-11-009_telegraph,21865478
03-11-027_times,21833088
03-11-027_guardian,21833088
03-11-027_telegraph,21833088
03-11-027_independent,21833088
03-11-027_scotsman,21833088
03-11-027_bbcnews,21833088
03-11-027_reuters,21833088
03-11-032_sun,21964340
03-11-032_times,21964340
03-11-032_reuters,21964340
14-11-027_bbcnews,22156981
13-11-010_dailymail,21656330
13-11-010_sun,21656330
13-11-010_mirror,21656330
13-11-010_express,21656330
13-11-010_times,21656330
13-11-010_guardian,21656330
13-11-010_telegraph,21656330
13-11-010_independent,21656330
13-11-010_metro,21656330
03-11-022_sun,22832521
03-11-022_mirror,22832521
03-11-022_telegraph,22832521
03-11-022_metro,22832521
05-11-007_sun,21408089
05-11-007_telegraph,21408089
05-11-007_bbcnews,21408089
05-11-007_reuters,21408089
07-11-030_dailymail,21881559
07-11-030_sun,21881559
07-11-030_metro,21881559
05-11-029_bbcnews,22073118
05-11-029_metro,22073118
09-11-001_bbcnews,21300991
05-11-026_metro,21921915
05-11-034_bbcnews,21865384
05-11-034_metro,21865384
05-11-035_sun,22144895
05-11-035_bbcnews,22144895
14-11-021_dailymail,21883137
13-11-002_mirror,21183323
13-11-002_guardian,21183323
13-11-002_bbcnews,21183323
08-11-018_dailymail,21572164
08-11-018_sun,21572164
08-11-018_mirror,21572164
08-11-018_express,21572164
08-11-018_telegraph,21572164
08-11-018_independent,21572164
08-11-018_reuters,21572164
18-11-013_dailymail,22155336
18-11-013_guardian,22155336
18-11-013_telegraph,22155336
04-11-010_express,21926974
04-11-010_independent,21926974
10-11-003_telegraph,21708808
09-11-009_reuters,21995387
16-11-001_telegraph,20884632
16-11-001_bbcnews,20884632
03-11-026_dailymail,21875885
03-11-026_sun,21875885
03-11-026_express,21875885
03-11-026_times,21875885
03-11-026_guardian,21875885
03-11-026_telegraph,21875885
03-11-026_independent,21875885
03-11-026_scotsman,21875885
03-11-026_bbcnews,21875885
03-11-026_reuters,21875885
03-11-026_metro,21875885
14-11-007_bbcnews,21382949
14-11-007_reuters,21382949
15-11-010_bbcnews,21573153
09-11-004_dailymail,21685898
09-11-004_mirror,21685898
09-11-004_express,21685898
09-11-004_times,21685898
09-11-004_bbcnews,21685898
09-11-004_reuters,21685898
19-11-003_bbcnews,21303990
03-11-035_bbcnews,21979934
20-11-011_sun,21835876
20-11-011_mirror,21835876
20-11-011_telegraph,21835876
20-11-011_bbcnews,21835876
20-11-011_metro,21835876
02-11-040_independent,21990260
02-11-040_scotsman,21990260
02-11-040_bbcnews,21990260
02-11-040_reuters,21990260
14-11-002_dailymail,21073458
14-11-002_telegraph,21073458
14-11-002_independent,21073458
03-11-025_express,21860463
03-11-025_times,21860463
03-11-025_independent,21860463
08-11-004_dailymail,21334061
08-11-004_times,21334061
08-11-004_reuters,21334061
08-11-021_telegraph,21624810
08-11-021_bbcnews,21624810
19-11-001_times,21209829
19-11-001_telegraph,21209829
05-11-021_dailymail,21753226
05-11-021_express,21753226
05-11-021_bbcnews,21753226
05-11-021_reuters,21753226
07-11-008_reuters,21346807
13-11-013_independent,21729994
17-11-012_dailymail,22171023
17-11-012_mirror,22171023
17-11-012_times,22171023
17-11-012_telegraph,22171023
17-11-012_bbcnews,22171023
11-11-005_express,21855154
11-11-005_metro,21855154
02-11-054_dailymail,21709373
02-11-054_sun,21709373
02-11-054_telegraph,21709373
05-11-031_dailymail,21852181
05-11-031_independent,21852181
05-11-031_bbcnews,21852181
05-11-031_metro,21852181
06-11-018_express,21818333
06-11-018_times,21818333
06-11-018_telegraph,21818333
06-11-018_bbcnews,21818333
07-11-010_dailymail,21357284
07-11-010_telegraph,21357284
07-11-010_bbcnews,21357284
06-11-010_express,21471969
06-11-010_scotsman,21471969
06-11-010_metro,21471969
05-11-005_scotsman,21336331
05-11-005_metro,21336331
05-11-022_metro,21733839
20-11-020_dailymail,22130691
20-11-020_telegraph,22130691
12-11-024_times,22003387
03-11-013_dailymail,21385945
03-11-013_guardian,21385945
03-11-013_bbcnews,21385945
19-11-004_bbcnews,21440992
05-11-012_bbcnews,21478199
02-11-036_guardian,21933947
02-11-036_telegraph,21933947
02-11-036_independent,21933947
02-11-036_sundaytelegraph,21933947
02-11-036_bbcnews,21933947
02-11-036_metro,21933947
09-11-014_telegraph,22009446
16-11-007_dailymail,22036019
16-11-007_sun,22036019
16-11-007_mirror,22036019
16-11-007_express,22036019
16-11-007_times,22036019
16-11-007_guardian,22036019
16-11-007_telegraph,22036019
16-11-007_bbcnews,22036019
16-11-007_reuters,22036019
16-11-007_metro,22036019
02-11-029_guardian,21772314
03-11-019_dailymail,21690575
03-11-019_guardian,21690575
03-11-019_telegraph,21690575
15-11-026_reuters,21593400
03-11-040_dailymail,22099463
03-11-040_sun,22099463
03-11-040_mirror,22099463
03-11-001_dailymail,21216859
03-11-001_sun,21216859
03-11-001_guardian,21216859
03-11-001_scotsman,21216859
03-11-001_bbcnews,21216859
03-11-001_reuters,21216859
07-11-002_dailymail,21295846
07-11-002_sun,21295846
07-11-002_express,21295846
07-11-002_guardian,21295846
07-11-002_telegraph,21295846
07-11-002_economist,21295846
07-11-002_bbcnews,21295846
20-11-003_dailymail,21516365
03-11-014_guardian,21493665
06-11-007_dailymail,21397319
06-11-007_mirror,21397319
06-11-007_express,21397319
06-11-007_telegraph,21397319
06-11-007_bbcnews,21397319
06-11-007_reuters,21397319
03-11-028_dailymail,21903816
03-11-028_sun,21903816
03-11-028_express,21903816
03-11-028_bbcnews,21903816
03-11-028_reuters,21903816
07-11-015_telegraph,21519144
05-11-004_times,20949370
05-11-004_bbcnews,20949370
03-11-006_dailymail,21270895
12-11-003_mirror,21278455
18-11-011_mirror,22088804
14-11-004_telegraph,21232089
19-11-014_dailymail,22153160
19-11-014_sun,22153160
19-11-014_mirror,22153160
19-11-014_newscientist,22153160
19-11-014_reuters,22153160
19-11-014_metro,22153160
03-11-004_express,21236483
03-11-004_telegraph,21236483
03-11-004_mailonsunday,21236483
03-11-004_bbcnews,21236483
03-11-004_reuters,21236483
07-11-016_pressassociation,21517920
15-11-017_bbcnews,22071967
05-11-001_bbcnews,21224062
05-11-010_sun,21427373
05-11-010_express,21427373
05-11-010_independent,21427373
05-11-010_scotsman,21427373
05-11-010_bbcnews,21427373
05-11-010_metro,21427373
16-11-005_sun,22047557
16-11-005_mirror,22047557
16-11-005_express,22047557
16-11-005_bbcnews,22047557
16-11-005_metro,22047557
11-11-006_telegraph,21900315
08-11-014_mirror,21474517
05-11-030_independent,22037309
05-11-030_scotsman,22037309
05-11-030_bbcnews,22037309
05-11-030_metro,22037309
15-11-006_dailymail,21423189
15-11-006_sun,21423189
15-11-006_mirror,21423189
15-11-006_express,21423189
15-11-006_telegraph,21423189
15-11-006_bbcnews,21423189
13-11-009_telegraph,21467206
